NodeType,NodeEID,NodeLabel,HabQuantity,HabUnits,BarrierPerm,NaturalTF,DownstreamEID,DownstreamNodeLabel,DownstreamNeighDistance,DistanceUnits
Source Junction,126,614,417.4,Metres,1,F,124,555,417.4,Metres
Branch Junction,140,540,365.84,Metres,1,F,124,555,365.84,Metres
Source Junction,332,155,134.25,Metres,1,F,335,160,134.25,Metres
Barrier,338,300193,227.35,Metres,1,F,335,160,227.35,Metres
Barrier,345,300157,261.43,Metres,1,F,341,299,261.43,Metres
Barrier,348,300032,537.82,Metres,1,F,341,299,537.82,Metres
Barrier,360,300158,46.63,Metres,1,F,341,299,46.63,Metres
Branch Junction,364,425,1669.9,Metres,1,F,355,100008,1669.9,Metres
Barrier,371,300133,105.12,Metres,1,F,369,300023,105.12,Metres
Source Junction,677,1180,723.48,Metres,1,F,579,300191,723.48,Metres
Branch Junction,654,1018,106.05,Metres,1,F,653,1017,106.05,Metres
Source Junction,655,1084,407.08,Metres,1,F,653,1017,407.08,Metres
Branch Junction,598,802,406.63,Metres,1,F,539,808,406.63,Metres
Source Junction,648,921,780.64,Metres,1,F,539,808,780.64,Metres
Barrier,591,300117,68.12,Metres,1,F,593,740,68.12,Metres
Branch Junction,600,780,551.86,Metres,1,F,593,740,551.86,Metres
Source Junction,141,517,643.61,Metres,1,F,140,540,643.61,Metres
Source Junction,142,484,1031.1,Metres,1,F,140,540,1031.1,Metres
Barrier,411,300148,647.27,Metres,1,F,338,300193,647.27,Metres
Barrier,352,300156,182.8,Metres,1,F,345,300157,182.8,Metres
Source Junction,350,254,127.57,Metres,1,F,348,300032,127.57,Metres
Barrier,426,300155,847.48,Metres,1,F,360,300158,847.48,Metres
Branch Junction,428,444,345.13,Metres,1,F,364,425,345.13,Metres
Barrier,430,300154,423.48,Metres,1,F,364,425,423.48,Metres
Barrier,386,300192,90.96,Metres,1,F,371,300133,90.96,Metres
Branch Junction,663,1042,404.01,Metres,1,F,654,1018,404.01,Metres
Barrier,665,300190,370.19,Metres,1,F,654,1018,370.19,Metres
Branch Junction,599,800,157.01,Metres,1,F,598,802,157.01,Metres
Branch Junction,649,903,636.29,Metres,1,F,598,802,636.29,Metres
Branch Junction,594,708,740.01,Metres,1,F,591,300117,740.01,Metres
Barrier,616,300045,602.76,Metres,1,F,600,780,602.76,Metres
Barrier,658,300128,830.07,Metres,1,F,600,780,830.07,Metres
Barrier,414,300147,180.03,Metres,1,F,411,300148,180.03,Metres
Source Junction,423,257,1392.67,Metres,1,F,352,300156,1392.67,Metres
