"Seg_ID","Seg"
"544_s","544_s"
"544_s","539_s"
"544_s","548_s"
"557_s","557_s"
"557_s","549_s"
"557_s","823_s"
"769_s","769_s"
"769_s","757_s"
"769_s","772_s"
"783_s","783_s"
"783_s","757_s"
"786_s","786_s"
"786_s","757_s"
"786_s","802_s"
"786_s","826_s"
"786_s","832_s"
"764_s","764_s"
"764_s","760_s"
"764_s","737_s"
"764_s","741_s"
"574_s","574_s"
"574_s","575_s"
"578_s","578_s"
"578_s","579_s"
"586_s","586_s"
"586_s","587_s"
"639_s","639_s"
"639_s","637_s"
"639_s","679_s"
"663_s","663_s"
"663_s","661_s"
"663_s","665_s"
"531_s","531_s"
"531_s","530_s"
"548_s","548_s"
"548_s","544_s"
"548_s","554_s"
"823_s","823_s"
"823_s","557_s"
"823_s","825_s"
"772_s","772_s"
"772_s","769_s"
"772_s","779_s"
"772_s","791_s"
"802_s","802_s"
"802_s","786_s"
"802_s","837_s"
"802_s","843_s"
"826_s","826_s"
"826_s","786_s"
"832_s","832_s"
"832_s","786_s"
"832_s","833_s"
"737_s","737_s"
"737_s","764_s"
"737_s","747_s"
"741_s","741_s"
"741_s","764_s"
"679_s","679_s"
"679_s","639_s"
"679_s","683_s"
"665_s","665_s"
"665_s","663_s"
"554_s","554_s"
"554_s","548_s"
"554_s","551_s"
"825_s","825_s"
"825_s","823_s"
"825_s","828_s"
"779_s","779_s"
"779_s","772_s"
"791_s","791_s"
"791_s","772_s"
"791_s","810_s"
"791_s","818_s"
"791_s","853_s"
"791_s","856_s"
"837_s","837_s"
"837_s","802_s"
"837_s","846_s"
"843_s","843_s"
"843_s","802_s"
"833_s","833_s"
"833_s","832_s"
"747_s","747_s"
"747_s","737_s"
"683_s","683_s"
"683_s","679_s"
"683_s","647_s"
"683_s","692_s"
"551_s","551_s"
"551_s","554_s"
"828_s","828_s"
"828_s","825_s"
"828_s","829_s"
"810_s","810_s"
"810_s","791_s"
"810_s","809_s"
"818_s","818_s"
"818_s","791_s"
"818_s","817_s"
"853_s","853_s"
"853_s","791_s"
"853_s","865_s"
"853_s","871_s"
"853_s","877_s"
"853_s","884_s"
"856_s","856_s"
"856_s","791_s"
"846_s","846_s"
"846_s","837_s"
"647_s","647_s"
"647_s","683_s"
"647_s","646_s"
"692_s","692_s"
"692_s","683_s"
"692_s","712_s"
"829_s","829_s"
"829_s","828_s"
"809_s","809_s"
"809_s","810_s"
"817_s","817_s"
"817_s","818_s"
"817_s","819_s"
"865_s","865_s"
"865_s","853_s"
"865_s","868_s"
"871_s","871_s"
"871_s","853_s"
"871_s","881_s"
"877_s","877_s"
"877_s","853_s"
"877_s","878_s"
"884_s","884_s"
"884_s","853_s"
"884_s","887_s"
"646_s","646_s"
"646_s","647_s"
"712_s","712_s"
"712_s","692_s"
"712_s","713_s"
"819_s","819_s"
"819_s","817_s"
"868_s","868_s"
"868_s","865_s"
"868_s","909_s"
"881_s","881_s"
"881_s","871_s"
"878_s","878_s"
"878_s","877_s"
"878_s","925_s"
"887_s","887_s"
"887_s","884_s"
"887_s","917_s"
"713_s","713_s"
"713_s","712_s"
"909_s","909_s"
"909_s","868_s"
"909_s","906_s"
"925_s","925_s"
"925_s","878_s"
"925_s","928_s"
"917_s","917_s"
"917_s","887_s"
"906_s","906_s"
"906_s","909_s"
"906_s","903_s"
"928_s","928_s"
"928_s","925_s"
"928_s","939_s"
"928_s","950_s"
"928_s","957_s"
"903_s","903_s"
"903_s","906_s"
"903_s","912_s"
"939_s","939_s"
"939_s","928_s"
"939_s","940_s"
"950_s","950_s"
"950_s","928_s"
"950_s","953_s"
"957_s","957_s"
"957_s","928_s"
"957_s","960_s"
"912_s","912_s"
"912_s","903_s"
"912_s","916_s"
"940_s","940_s"
"940_s","939_s"
"953_s","953_s"
"953_s","950_s"
"960_s","960_s"
"960_s","957_s"
"916_s","916_s"
"916_s","912_s"
"sink","sink"
"sink","38_s"
